user_id, num_tweets, retweet_ratio, hashtag_ratio, quote_ratio, tweet_favorite_ratio, tweet_retweet_ratio, mention_ratio, friend_follower_ratio, url_ratio, listed_count, verified, geo_enabled, protected, profile_uses_background_image, favourites_count, tweet_frequency_variance, class
194908659,81648,0.0,0.0,0.0,0.64,1.08,0.0,0.009009769969310471,1.0,306,False,True,False,True,0,30476212.239112142,True
358101059,37040,0.15,0.0,0.18,4.61,1.41,0.42,0.00013251575130407547,0.86,379,False,True,False,True,23,329195130.36071956,True
17187236,371590,0.44,0.89,0.07,4.21,2.8,0.58,0.05643306676761463,0.66,1740,True,True,False,True,20042,214133.01798863878,True
456177793,70616,0.11,0.05,0.02,249.85,40.4,0.54,0.00026995341375374076,0.78,1336,True,False,False,True,2536,9487771742.84957,True
2319314323,168240,0.08,0.82,0.0,0.76,0.77,0.09,0.38150491921565566,0.94,233,False,False,False,True,41,964652477806.1617,True
92985467,10516,0.01,0.04,0.04,362.78,185.25,0.67,0.39992945977947786,0.09,1988,True,True,False,True,10359,589230277.822428,True
1375507088,42977,0.1,0.26,0.02,152.26,11540.76,0.15,0.4531550417405758,0.07,191,False,True,False,True,455,443502148160.7259,True
466573221,165415,0.17346938775510204,0.5714285714285714,0.15306122448979592,15.540816326530612,15130.469387755102,0.6122448979591837,0.08705906067325136,0.21428571428571427,118,False,True,False,False,1491,376308817.97850883,True
1587974648,10298,0.0,0.0,0.0,0.03,0.0,0.0,0.03957959711390082,1.0,5,False,False,False,True,4,23790846277.642017,True
538949379,89407,0.0,0.44,0.12,10.38,0.72,0.0,0.00014483385679150095,0.88,390,True,False,False,True,137,2454518.7649905323,True
1499232864,221715,0.03,0.0,0.0,0.27,0.76,0.95,1.0069698538962417,0.04,62,False,False,False,True,6327,641801.4480328213,True
527506722,108293,0.04,1.04,0.0,4.89,2.58,0.11,0.0003444628804859352,0.97,455,False,False,False,True,1769,2456917.795076794,True
29820945,141944,0.0,0.0,0.0,0.99,0.19,0.0,0.01075058755276135,1.0,303,True,True,False,True,1356,119643.28855459711,True
892792496,337099,0.08,1.47,0.0,1.07,0.63,0.16,0.0889995902611546,0.92,508,False,True,False,True,6329,165724.82895013673,True
223116969,170858,0.0,0.0,0.0,1.71,0.26,0.0,0.8618186604033369,1.0,1574,False,False,False,True,0,9.76614769619188,True
